C	RGB (1.0, 0.0, 0.0, 1.0)	10.0	RGB (0.262745098039, 0.454901960784, 0.266666666667, 1.0)	28.0	RGB (0.235294117647, 0.423529411765, 0.2, 1.0)	36.0	IMG_1909_simred.JPG	0.113345287396	IMG_1924_simred.JPG	0.419281849575	IMG_1903_simred.JPG	0.501372960139	IMG_1915_simred.JPG	0.834737964311	
K	RGB (1.0, 0.0, 0.0, 1.0)	10.0	/home/karl/Documents/uprm/09_semestre/CFIT4007-016/Proyecto/redbg/calabaza3	142.0	 	 	IMG_1909_simred.JPG	0.121344537101	IMG_1924_simred.JPG	0.401008947973	IMG_1903_simred.JPG	0.499955345304	IMG_1915_simred.JPG	0.812555017127	
